id,collection,dspace.entity.type,nrcan.sponsor.code,nrcan.sponsor.program[en],nrcan.sponsor.program[fr],dc.title[en],dc.title[fr],nrcan.sponsor.url[en],nrcan.sponsor.url[fr]
+,123456789s/21,Sponsor,22A,Canada's Survey Registry,Registre d'arpentage,Canada's Survey Registries,Registre d'arpentage,http://www.nrcan.gc.ca/earth-sciences/geomatics/canada-lands-surveys/federal-programs/10849,http://www.rncan.gc.ca/sciences-terre/geomatique/arpentage-terres-canada/programmes-federaux/10854
+,123456789s/21,Sponsor,093,"Canada-Nunavut Geoscience Office, Funding Program","Bureau géoscientifique Canada-Nunavut, Programme de financement",,,,
+,123456789s/21,Sponsor,175000,Office of the Chief Scientist,Bureau du scientifique principal,,,,
+,123456789s/21,Sponsor,175110,Office of the Chief Scientist,Bureau du scientifique principal,EIF,FIE,,
+,123456789s/21,Sponsor,303470,People Support,Soutien aux personnes,,,,
+,123456789s/21,Sponsor,303480,GSC Northern Canada Division,Division de la CGC du nord du Canada,Strategic Leadership,Leadership stratégique,,
+,123456789s/21,Sponsor,320300,Climate Change Impacts and Adaptation,Les impacts et l'adaptation liés aux changements climatiques,,,https://www.nrcan.gc.ca/climate-change-adapting-impacts-and- reducing-emissions/21442,https://www.rncan.gc.ca/changements-climatiques/21443
+,123456789s/21,Sponsor,320310,Climate Change Impacts and Adaptation,Les impacts et l'adaptation liés aux changements climatiques,Canada in a Changing Climate,Le Canada dans un climat en changement,https://www.nrcan.gc.ca/climate-change-adapting-impacts-and- reducing-emissions/canada-changing-climate-advancing-our-kno wledge-for-action/19918,https://www.rncan.gc.ca/changements-climatiques/le-canada-da ns-un-climat-en-changement-faire-progresser-nos-connaissance s-pour-agir/19919
+,123456789s/21,Sponsor,320330,Climate Change Impacts and Adaptation,Les impacts et l'adaptation liés aux changements climatiques,Canada's Climate Change Adaptation Platform,Plateforme canadienne d'adaptation aux changements climatiques,https://www.nrcan.gc.ca/climate-change-adapting-impacts-and- reducing-emissions/adapting-our-changing-climate/10027,https://www.rncan.gc.ca/changements-climatiques/plateforme- canadienne-dadaptation-changements-climatiques/10028
+,123456789s/21,Sponsor,320340,Climate Change Impacts and Adaptation,Les impacts et l'adaptation liés aux changements climatiques,Climate Change Adaptation Program,Programme sur l'adaptation liés aux changements climatiques,https://www.nrcan.gc.ca/climate-change-adapting-impacts-and- reducing-emissions/adapting-our-changing-climate/10027,https://www.rncan.gc.ca/changements-climatiques/plateforme- canadienne-dadaptation-changements-climatiques/10028
+,123456789s/21,Sponsor,330200,GSC - Atlantic and Western Canada Branch,CGC - Bureau de l'Atlantique et de l'ouest du Canada,United Nations Convention on the Law of the Sea,Convention des Nations Unies sur la loi de la mer,,
+,123456789s/21,Sponsor,330300,Canadian Hazard Information Service,Service canadien d'information sur les risques,,,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330301,Canadian Hazard Information Service,Service canadien d'information sur les risques,Canadian Hazard Information Service Management,Gestion du Service canadien d'information sur les risques,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330302,Canadian Hazard Information Service,Service canadien d'information sur les risques,Nuclear Emergency Response,Réponse nucléaire,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330303,Canadian Hazard Information Service,Service canadien d'information sur les risques,Geomagnetism and space weather,Géomagnétisme et la météorologie de l'espace,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330304,Canadian Hazard Information Service,Service canadien d'information sur les risques,Infrastructure and development,Infrastructure et développement,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330305,Canadian Hazard Information Service,Service canadien d'information sur les risques,Network operations,Opérations de réseaux,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330312,Canadian Hazard Information Service,Service de renseignement canadien,Earthquake Early Warning,Un système d'alerte en cas de tremblement de terre,https://chis.nrcan.gc.ca/index-en.php,https://chis.nrcan.gc.ca/index-fr.php
+,123456789s/21,Sponsor,330400,Science Laboratory Network,Réseau des laboratoires scientifiques,Science Laboratory Network,Réseau des laboratoires scientifiques,,
+,123456789s/21,Sponsor,330401,Science laboratory network,Réseau des laboratoires scientifiques,Science laboratory network coordination,Coordination du réseau des laboratoires scientifiques,,
+,123456789s/21,Sponsor,330403,Science laboratory network,Réseau des laboratoires scientifiques,PaleoLab,PaleoLab,,
+,123456789s/21,Sponsor,330405,Science laboratory network,Réseau des laboratoires scientifiques,Isotope geochemistry & geochronology group,Groupe de géochemie isotopique & géochronologique,,
+,123456789s/21,Sponsor,331101,GSC Calgary Division,Division de la CGC de Calgary,Director's Office,Bureau du Directeur,,
+,123456789s/21,Sponsor,331201,Energy Geoscience,Géoscience Énergie,Gas Hydrates - Coordination,Hydrates de gaz - Gestionnaire,,
+,123456789s/21,Sponsor,331202,Energy Geoscience,Géoscience Énergie,Gas Hydrate Assessment,Évaluation des hydrates de gaz,,
+,123456789s/21,Sponsor,331203,Energy Geoscience,Géoscience Énergie,Gas Hydrates Products,Produits hydrate de gaz,,
+,123456789s/21,Sponsor,331204,Energy Geoscience,Géoscience Énergie,Gas Hydrate PERD,Hydrate de gaz PRDE,,
+,123456789s/21,Sponsor,331205,Energy Geoscience,Géoscience Énergie,Gas Hydrates Korea,Hydrates de gaz Corée,,
+,123456789s/21,Sponsor,331302,Environmental Geoscience,Géosciences environnementales,Carbon Capture & Storage,Saisi et entreposage de carbone,https://www.nrcan.gc.ca/earth-sciences/resources/federal-pro grams/environmental-geoscience/10902,https://www.rncan.gc.ca/sciences-terre/ressources/programmes -federaux/geoscience-environnementale/10903
+,123456789s/21,Sponsor,331303,Energy Geoscience,Géoscience Énergie,Unconventional Petroleum Eastern Canada,Pétrole non conventionnel - Est Canada,,
+,123456789s/21,Sponsor,331304,Energy Geoscience,Géoscience Énergie,Geothermal Assessments,Évaluation géothermique,https://www.nrcan.gc.ca/earth-sciences/earth-sciences-resources/energy-geoscience/10890,https://www.rncan.gc.ca/sciences-de-la-terre/ressources-sciences-de-la-terre/geosciences-lenergie/10891
+,123456789s/21,Sponsor,331306,Geoscience for future Energy Resources,Les géosciences pour les sources d'énergie du futur,Tailings Research,Recherches des résidus miniers,,
+,123456789s/21,Sponsor,331400,Energy Geoscience,Géosciences de l'énergie,,,https://www.nrcan.gc.ca/science-data/science-research/earth-sciences/energy-geoscience/10890,https://www.rncan.gc.ca/science-data/science-research/earth-sciences/geosciences-de-lenergie/10891
+,123456789s/21,Sponsor,331401,Energy Geoscience,Géosciences de l'énergie,Program Coordination,La coordination du programme,https://www.nrcan.gc.ca/science-and-data/science-and-research/earth-sciences/sciences/geology/energy-geoscience/10890,https://www.rncan.gc.ca/sciences-de-la-terre/sciences/geologie/geosciences-lenergie/10891
+,123456789s/21,Sponsor,331402,Energy Geoscience,Géosciences de l'énergie,Innovation and renewable energy - pore fluid implications,Innovation et énergie renouvelable - implications de fluide interstitiel,https://www.nrcan.gc.ca/earth-sciences/earth-sciences-resources/energy-geoscience/10890,https://www.rncan.gc.ca/sciences-de-la-terre/ressources-sciences-de-la-terre/geosciences-lenergie/10891
+,123456789s/21,Sponsor,331403,Energy Geoscience,Les géosciences de l'énergie,Clean Energy Resources - Decreasing Environmental Risk,Ressources d'énergie propre - réduire les risques environnementaux,https://www.nrcan.gc.ca/science-and-data/science-and-research/energy-geoscience/10890,https://www.rncan.gc.ca/sciences-de-la-terre/sciences/geologie/geosciences-lenergie/10891
+,123456789s/21,Sponsor,331404,Geoscience for New Energy Supply (GNES),Les géosciences pour les nouvelles sources d'énergie,Shale-hosted petroleum resource assessment,Évaluation des ressources pétrolières pour les schistes,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/geoscience-new-energy-resources/10913,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/geoscience-nouvelles-ressources-energetiques/10914
+,123456789s/21,Sponsor,331405,Geoscience for New Energy Supply (GNES),Les géosciences pour les nouvelles sources d'énergie,Frontier basin analysis,Analyse des bassins frontaliers,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geoscience-new-energy-resources/10913,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geoscience-nouvelles-ressources-energetiques/10914
+,123456789s/21,Sponsor,331600,Marine Conservation Targets,Objectifs de conservation marine,,,,
+,123456789s/21,Sponsor,331601,Marine Conservation Targets [MCT],Objectives de Conservation Marine [OCM],MCT - Program Coordination,OCM - Gestion de Programme,,
+,123456789s/21,Sponsor,331603,Marine Conservation Targets,Objectifs de conservation marine,Marine Conservation Targets - Marine Protected Areas,Objectifs de conservation marine - Zones de protection marine,,
+,123456789s/21,Sponsor,332100,GSC Atlantic,CGC Atlantique,GSC Atlantic Division,Division Atlantique de la CGC,https://www.nrcan.gc.ca/science-and-data/research-centres-and-labs/geological-survey-canada/17100,https://www.rncan.gc.ca/science-et-donnees/centres-de-recherche-et-laboratoires/la-commission-geologique-du-canada/17101
+,123456789s/21,Sponsor,332101,GSC Atlantic Division,Division de la CGC atlantique,Director Office,Bureau du directeur,,
+,123456789s/21,Sponsor,332106,Climate Change Geoscience,Géosciences de changements climatiques,Glacier Mass Balance Project,Projet de bilan massique des glaciers,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/climate-change-geoscience-program/10900,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-changements-climatiques/10901
+,123456789s/21,Sponsor,332200,Marine Geoscience for Marine Spatial Planning,Géosciences marines pour la planification spatiale marine,"Cumulative effects, marine component","Effets cumulatifs, composant marin",,
+,123456789s/21,Sponsor,332202,Energy Geoscience,Géosciences de l'énergie,Geothermal Energy,L'énergie géothermique,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/geoscience-new-energy-resources/10913,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/geoscience-nouvelles-ressources-energetiques/10914
+,123456789s/21,Sponsor,332203,Offshore Geoscience,Géoscience en mer,Geosciences East Coast,Géosciences de la côte Est,,
+,123456789s/21,Sponsor,332270,Marine Geoscience for Marine Spatial Planning,Géosciences marines pour la planification spatiale marine,"Cumulative effects, marine component - Coordination","Effets cumulatifs, composant marin - Gestion",,
+,123456789s/21,Sponsor,332271,Marine Geoscience for Marine Spatial Planning,Géosciences marines pour la planification spatiale marine,"Cumulative effects, marine component - Salish Sea","Effets cumulatifs, composant marin - Étude de la mer de Salish",,
+,123456789s/21,Sponsor,332272,Marine Geoscience for Marine Spatial Planning,Géosciences marines pour la planification spatiale marine,"Cumulative effects, marine component - Pacific north coast","Effets cumulatifs, composant marin - Étude de la côte nord du Pacifique",,
+,123456789s/21,Sponsor,332273,Marine Geoscience for Marine Spatial Planning,Géosciences marines pour la planification spatiale marine,"Cumulative effects, marine component - Scotian Shelf","Effets cumulatifs, composant marin - Étude de la plate-forme Néo-Écossaise",,
+,123456789s/21,Sponsor,332274,Marine Geoscience for Marine Spatial Planning,Géosciences marines pour la planification spatiale marine,"Cumulative effects, marine component - Newfoundland Shelf","Effets cumulatifs, composant marin - Étude de la plate-forme de Terre-Neuve",,
+,123456789s/21,Sponsor,333102,GSC Pacific Division,Division CGC Pacifique,Canadian Crustal Deformation Service,Service canadien de surveillance des déformations de la croûte terrestre,,
+,123456789s/21,Sponsor,333106,GSC Pacific Division,Division CGC Pacifique,Vancouver Subdivision Operations,Opérations - subdivision de Vancouver,,
+,123456789s/21,Sponsor,333107,GSC Pacific Division,Division CGC Pacifique,Cold Stream Remediation Project,Projet d'assainissement du Cold Stream,,
+,123456789s/21,Sponsor,333200,Public Safety Geoscience,Géoscience pour la sécurité publique,,,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333201,Public Safety Geoscience,Géoscience pour la sécurité publique,Public Safety Geoscience - Coordination,Géoscience pour la sécurité publique - gestionnaire,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333202,Public Safety Geoscience,Géoscience pour la sécurité publique,Assessing Earthquake Geohazards,Risques géologique du tremblement de terre,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333203,Public Safety Geoscience,Géoscience pour la sécurité publique,Eastern Canada Geohazards Project,"Est du Canada, risque géoscience",http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333204,Public Safety Geoscience,Géoscience pour la sécurité publique,Assessing space weather hazards,Évaluation des risques de la météorologie spatiale,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333205,Public Safety Geoscience,Géoscience pour la sécurité publique,National Hazard assessment,L'évaluation des risques nationale,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333206,Public Safety Geoscience,Géoscience pour la sécurité publique,Quantifying geohazard risk,Quantification des risques géologiques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333207,Public Safety Geoscience,Géoscience pour la sécurité publique,Guidelines for hazard mitigation,Directives atténuation des risques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333208,Public Safety Geoscience,Géoscience pour la sécurité publique,Personal preparedness for Natural Hazards,Préparation aux risques naturels,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333209,Public Safety Geoscience,Géoscience pour la sécurité publique,Assessing landslides and marine geohazards,Évaluation des géorisques terrestres et marins,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333211,Public Safety Geoscience,Géoscience pour la sécurité publique,Intraplate Earthquakes,Tremblements de terre intraplaques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333212,Public Safety Geoscience,Géoscience pour la sécurité publique,Plate Boundary Earthquakes,Tremblements de terre à la limite des plaques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333213,Public Safety Geoscience,Géoscience pour la sécurité publique,Landslide Coordination,Coordination de glissements de terrain,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333214,Public Safety Geoscience,Géoscience pour la sécurité publique,Baffin Bay,Baie de Baffin,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333215,Public Safety Geoscience,Géoscience pour la sécurité publique,Beaufort Sea Exploration,Exploration de la mer de Beaufort,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333216,Public Safety Geoscience,Géoscience pour la sécurité publique,Terrestrial Landslides,Glissements de terrain terrestres,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333217,Public Safety Geoscience,Géoscience pour la sécurité publique,Rapid Risk Assessment,Évaluation rapide des risques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333218,Public Safety Geoscience,Géoscience pour la sécurité publique,National Earthquake Risk Assessment Framework,Cadre d'évaluation du risque sismique national,https://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/public-safety-geoscience/10911,https://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,333300,Marine Geohazards Mapping & Monitoring (MGMM),Cartographie et Surveillance-Risques Géologique Marine (CSGM),,,,
+,123456789s/21,Sponsor,333301,Marine Geohazards Mapping & Monitoring (MGMM),Cartographie et Surveillance-Risques Géologique Marine (CSGM),Earthquakes,Tremblements de terre,,
+,123456789s/21,Sponsor,333302,Marine Geohazards Mapping & Monitoring (MGMM),Cartographie et Surveillance-Risques Géologique Marine (CSGM),Major Capital,Capitale majeure,,
+,123456789s/21,Sponsor,333303,Marine Geohazards Mapping & Monitoring (MGMM),Cartographie et Surveillance-Risques Géologique Marine (CSGM),Submarine Landslides,Glissements de terrain - marin,,
+,123456789s/21,Sponsor,340100,"Geological Survey of Canada, Director General's Office","Commission géologique du Canada, Bureau du Directeur Général",,,,
+,123456789s/21,Sponsor,340101,"Geological Survey of Canada, Director General's Office","Commission géologique du Canada, Bureau du Directeur Général",Leadership,Leadership,,
+,123456789s/21,Sponsor,340102,"Geological Survey of Canada, Director General's Office","Commission géologique du Canada, Bureau du Directeur Général",Director General's Office Operations,Opérations du Bureau du Directeur Général du Canada,,
+,123456789s/21,Sponsor,340103,Director General's Office of GSC Central and Northern Canada Branch,"Bureau du Directeur Général de la CGC, Direction du Centre et du Nord du Canada",Open Geoscience Initiative,Initiative ouverte géoscientifique,,
+,123456789s/21,Sponsor,340103,Open Geoscience,Géoscience ouverte,Coordination,Coordination,,
+,123456789s/21,Sponsor,340200,Canada-Nunavut Geoscience Office,Bureau géoscientifique Canada-Nunavut,,,,
+,123456789s/21,Sponsor,340300,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Program Overview,Aperçu du programme,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340311,Targeted Geoscience Initiative (TGI-4),Initiative géoscientifique ciblée (IGC-4),TGI-4 Program Coordination,Coordination de IGC-4,http://www.nrcan.gc.ca/earth-sciences/resources/federal-programs/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes-federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340312,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Knowledge Management Coordination,Gestion de la connaissance de IGC,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340316,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Mineral Potential Initiative,Initiative du potentiel minéral,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340321,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Volcanic and sedimentary systems - volcanogenic massive sulphide ore systems,Systèmes volcaniques et sédimentaires - systèmes minéralisés de sulfure massif volcanogénique,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340322,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Nickel-copper-PGE-chromium systems,Systèmes de nickel-cuivre-EGP-chrome,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340323,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Volcanic and sedimentary systems - sedimentary exhalative ore systems,Systèmes volcaniques et sédimentaires - systèmes minéralisés exhalatifs sédimentaires,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340324,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Intrusion/Porphyry ore systems,Systèmes minéralisés - intrusions/porphyriques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340331,Targeted Geoscience Initiative (TGI-6),Initiative géoscientifique ciblée (IGC-6),Ore systems,Systèmes minéralisés,https://www.nrcan.gc.ca/science-data/science-research/earth-sciences/targeted-geoscience-initiative-increasing-deep-exploration-effectiveness/10907,https://www.rncan.gc.ca/science-data/science-research/earth-sciences/initiative-geoscientifique-ciblee-accroitre-lefficacite-de-lexploration-en-profondeur/10908
+,123456789s/21,Sponsor,340332,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Specialty metals ore systems,Systèmes minéralisés de métaux spéciaux,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340333,Targeted Geoscience Initiative (TGI-6),Initiative géoscientifique ciblée (IGC-6),Digital Geoscience and Method Development Project,Projet de géoscience numérique et élaboration de méthodes,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340338,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Volcanogenic massive sulphide ore systems - deposition - time and space,Systèmes minéralisés de sulfure massif volcanogénique - déposition - temps et espace,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340339,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Volcanogenic massive sulphide ore systems - base metal sources and processes,Systèmes minéralisés de sulfure massif volcanogénique - métaux de base - sources et processus,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340340,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Nickel-copper-PGE-chromium ore systems - deposit controls in cratonic areas,Systèmes minéralisés de nickel-cuivre-EGP-chrome - contrôle des dépôts dans les zones cratoniques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340341,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Nickel-copper-PGE-chromium ore systems - architecture - Cr-bearing systems,Systèmes minéralisés de nickel-cuivre-EGP-chrome - architecture - systèmes chromifères,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340345,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Intrusion/Porphyry ore systems - arc-related porphyry systems - time and space,Systèmes minéralisés intrusions/porphyriques - systèmes porphyriques liés aux arcs - temps et espace,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340346,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Post-orogenic Porphyry Systems - Time and Space,Systèmes porphyriques post-orogéniques - Temps et espace,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340347,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Gold ore systems - System Controls - Time and Space,Systèmes minéralisés aurifères - Commandes du système - Temps et espace,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340348,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Gold ore systems - tectonic drivers and conduits,Systèmes minéralisés aurifères - moteurs et conduits tectoniques,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
+,123456789s/21,Sponsor,340350,Targeted Geoscience Initiative (TGI-5),Initiative géoscientifique ciblée (IGC-5),Uranium ore systems - fluid pathways,Systèmes minéralisés d'uranium - voies de fluide,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/targeted-geoscience-initiative/10907,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/initiative-geoscientifique-ciblee/10908
